Year        Ace Index      Tropical Storms  Hurricanes(cat.1-5)   Huricanes(cat.3-5)
2005              248                   28                   15                    7
1950              243                   13                   11                    8
1951              137                   10                    8                    5
1952               87                    7                    6                    3
1956               54                    8                    4                    2
1962               36                    5                    3                    1
1968               35                    7                    4                    0
1970               34                   10                    5                    2
1972               28                    4                    3                    0
1977               25                    6                    5                    1
1983               17                    4                    3                    1
